id,db_id,difficulty,assignee,wrong_turn,error_class,subcategory,fix_idea,notes
bird_1136,european_football_2,moderate,Aziz,3,GOLD_NOISE,dedup-convention,"Standard dedup-convention fix: use COUNT(DISTINCT player_api_id), not COUNT(id)/COUNT(*), when the question asks ""how many players/patients/customers"".","VERIFIED WITH REAL DB QUERY: player 23916 has exactly 2 qualifying attribute rows (2 date-snapshots), player 32578 has 1. Raw row count=3 (gold), distinct player count=2 (model, correct). Joins the existing dedup-convention cluster (now 13+ occurrences across the dataset)."
bird_1144,european_football_2,simple,Aziz,-,GOLD_NOISE,unasked-column,None -- document.,"VERIFIED WITH REAL DB QUERY: remarkably clean case. Both model and gold independently resolve the weight tie to the same player (Kristof van Hout, id 148325) and the same first attribute snapshot (finishing=13, curve=13) -- answers are numerically IDENTICAL except gold demands one extra, unrequested ""id"" column."
bird_1148,european_football_2,moderate,Aziz,2,REASONING,ignored-hint-formula (dedup-convention family),"Same as dedup-convention cluster: when hint gives an explicit COUNT(id) formula, implement it literally -- do not substitute COUNT(DISTINCT player_id) even though it looks more correct.","VERIFIED: hint explicitly states DIVIDE(COUNT(height<180 AND overall_rating>70), COUNT(id))*100 -- literal row-count formula. Model substituted a distinct-player calculation instead (17.59% vs gold's 13.94%). Same underlying mechanism as the dedup-convention cluster, just phrased as ""hint literalness"" here."
bird_1149,thrombosis_prediction,moderate,Aziz,-,GOLD_NOISE,ignored-part-of-question,None -- document.,"VERIFIED: question has two parts (""are there more X or Y"" + ""what is the percentage""). Model answered both (2 columns). Gold answers ONLY the percentage (1 column) -- and that gold value (83.17757...) is numerically IDENTICAL to the model's second column. Confirms model's percentage calc was fully correct; gold simply drops part 1 of the question."
bird_115,financial,challenging,Aziz,-,GOLD_NOISE,gold-string-sort-trap,None -- document. Gold should CAST(A4 AS INTEGER) before ORDER BY.,"VERIFIED WITH REAL DB QUERY: A4 is stored as TEXT. Sorting south Bohemia districts by A4 DESC as text picks ""Jindrichuv Hradec"" (93931, string starts with 9) over ""Ceske Budejovice"" (177686, true numeric max, string starts with 1). Confirmed exact mechanism."
bird_1166,thrombosis_prediction,simple,Aziz,-,GOLD_NOISE,ambiguous-column (Patient.Diagnosis vs Examination.Diagnosis),Metadata fix: document which Diagnosis column (Patient vs Examination) is canonical for this DB's gold convention.,"VERIFIED: Symptoms value matches exactly between model and gold (""CNS susp""), proving the same underlying patient/record was correctly identified. The ONLY difference is which table's Diagnosis column was read (Examination.Diagnosis=""SLE+Psy"" vs Patient.Diagnosis=""SLE"")."
bird_1168,thrombosis_prediction,challenging,Aziz,-,INFRA_ERROR,api-error-no-final-produced,"Infra fix (retry/timeout), not a scaffold or knowledge fix. Already covered by existing 3-attempt retry logic in run_one -- this run predates full retry coverage for this failure mode, or retry was exhausted.","CRITICAL CORRECTION vs PDF: this is NOT a GOLD_NOISE case. Result record shows termination=""APIError"", predicted_sql="""" (empty), predicted_answer=None. Model made 4 LLM calls over 253s and burned 11,264 reasoning tokens but never produced a FINAL answer due to an Azure API error. The gold query's extra Birthday column is real but IRRELEVANT -- the model never got a chance to answer at all. PDF's classification was based on comparing gold's SQL structure without checking whether the model actually completed."
bird_1175,thrombosis_prediction,moderate,Aziz,2,REASONING,unnecessary-join-excludes-valid-entity,Guideline: do not add a JOIN (e.g. to Examination) solely to fetch one field (e.g. Diagnosis) if a simpler/direct source exists (e.g. Patient.Diagnosis) -- an added INNER JOIN can silently exclude entities that lack a matching row in the joined table.,"CORRECTED vs PDF: root cause is NOT primarily ""gold ignored the hint's date field"". VERIFIED WITH REAL DB QUERY: true max HGB (18.9) belongs to patient 2307640, who has ZERO Examination records. Model's query INNER JOINs to Examination (to fetch E.Diagnosis per its hint reading), which silently excludes this patient, forcing a different (lower-HGB) patient to surface. Gold's simpler 2-way join (Patient+Laboratory, using Patient.Diagnosis directly) correctly reaches the true top patient. Secondary, real issue: gold does use Laboratory.Date rather than the hint's stated Examination Date, but this is not what drives the wrong answer."
bird_1179,thrombosis_prediction,moderate,Aziz,-,GOLD_NOISE,unasked-column,None -- document.,"VERIFIED: hint explicitly restricts ""anti-Cardiolipin"" to aCL IgM only. Model correctly returns just aCL IgM=4.1. Gold returns all three (aCL IgA=3, aCL IgG=5.1, aCL IgM=4.1) -- third value exactly matches model's answer, confirming the same row was found; gold just demands 2 unrequested extra columns."
bird_118,financial,moderate,Aziz,2,REASONING,wrong-denominator (percent-of-what),"""Percentage of X"" => COUNT(X) in denominator, regardless of hint arithmetic sketches.","Hint itself says ""total(amount)"" -- genuinely ambiguous/borderline noise."
bird_1198,thrombosis_prediction,simple,Aziz,3,REASONING,wrong-source-table (had both),Insight: Patient.Diagnosis is the canonical diagnosis column in this DB.,"Model computed both candidates (16 via Patient, 2 via Examination) side by side and picked the wrong one (2) -- selection error, not exploration error."
bird_1205,thrombosis_prediction,moderate,Aziz,-,GOLD_NOISE,yesno-answered-per-row,None.,"""Was it within normal range?"" answered YES/NO by model; gold returns 44 rows of 0/1, one per lab test."
bird_1225,thrombosis_prediction,moderate,Aziz,-,GOLD_NOISE,hint-contradicts-gold,None.,"Hint literally says ""List refers to GROUP_CONCAT(DISTINCT ID)""; gold does NOT use GROUP_CONCAT at all. Model's answer is literally what the hint prescribes."
bird_1227,thrombosis_prediction,moderate,Aziz,2,REASONING,dedup-vs-join-semantics,"Follow hint formulas over raw joined rows, don't dedup unless asked.","Model averaged over distinct patients (71.95); gold averages over joined rows, weighting by lab-test count (74.69). Model's stats are defensibly better."
bird_1238,thrombosis_prediction,moderate,Aziz,2,REASONING,wrong-source-table (had both),Same canonical-diagnosis insight as bird_1198.,Second occurrence of the same Patient.Diagnosis vs Examination.Diagnosis confusion.
bird_1239,thrombosis_prediction,challenging,Aziz,2,REASONING,"boundary-off-by-one (hint "">2"" vs question ""two or more""="">=2"")","When hint's inequality conflicts with a plain-language quantifier (""two or more"" = >=2), trust the question.",Model saw the qualifying patient in its own turn-1 exploration but dropped it in the final query.
bird_1241,thrombosis_prediction,challenging,Aziz,2,REASONING,extra-column-not-asked,"SELECT exactly what the hint's calculation formula returns, don't add supporting columns.","Hint is internally inconsistent (inclusive ""abnormal"" vs strict ""lower/higher"") -- secondary contributor."
bird_1242,thrombosis_prediction,challenging,Aziz,-,GOLD_NOISE,hint-contradicts-gold (wrong reference date for age),None.,"Model correctly implemented the hint's literal current_timestamp formula; gold silently uses the exam Date instead, contradicting its own hint text."
bird_1243,thrombosis_prediction,challenging,Aziz,-,GOLD_NOISE,faulty-count-aggregation (hint-contradicts-gold),"None -- real SQL bug in gold, not fixable by model instructions.","CORRECTED via Gemini + full-hint check: hint explicitly specifies DIVIDE(SUM(PT>=14 AND SEX='F'),SUM(PT>=14)) and model implemented it exactly. Gold uses COUNT(CASE WHEN cond THEN 1 ELSE 0 END) which counts ALL rows (ELSE 0 is non-NULL), not just matching ones."
bird_1247,thrombosis_prediction,challenging,Aziz,-,GOLD_NOISE,AND-OR-precedence-bug,None.,"Model's SQL properly parenthesizes the OR; gold's missing parentheses let AND bind tighter, dropping WBC/sex filters for half the condition. 1st of several precedence-bug findings this session."
bird_125,financial,challenging,Aziz,-,GOLD_NOISE,gold-drops-requested-columns,None.,"Model answered with district+region+percentage as literally asked (3 cols); gold returns just 1 bare column, silently omitting district/region."
bird_1251,thrombosis_prediction,simple,Aziz,-,GOLD_NOISE,gold-answers-different-question,None.,Question asks a count of meetings; gold returns a list of non-meeting event names via EXCEPT. Model's count of 4 is a faithful answer to the actual question.
bird_1252,thrombosis_prediction,moderate,Aziz,1,REASONING,yesno-rule-overtriggered-on-each,"""Was EACH X...?"" is per-row, not aggregate -- refine yes/no scaffold rule.","Our own yes/no scaffold rule fired incorrectly; gold returns per-expense true/true/true, not an aggregate YES."
bird_1254,thrombosis_prediction,moderate,Aziz,2,KNOWLEDGE,wrong-value-semantics (status codes),Inject column value descriptions from database_description CSVs -- financial DB status codes (A/B/C/D) poster child.,"Model invented ""approved = status A""; gold applies NO status filter (a loan existing implies approval). CSV description defines all 4 codes."
bird_1255,thrombosis_prediction,moderate,Aziz,2,GOLD_NOISE,"boundary-inequality-mismatch (hint says <=/>=, gold uses strict NOT BETWEEN)","None -- document. Gold should use ""IGM <= 40 OR IGM >= 400"" (matching the hint) instead of ""NOT BETWEEN 40 AND 400"" (which means strictly < 40 OR > 400, excluding the boundary values).","NEW FINDING (not explicitly in the PDF -- verified independently). Hint states ""abnormal IGM refers to IGM<=40 OR IGM>=400"" (inclusive boundaries). Gold uses ""NOT BETWEEN 40 AND 400"" which is equivalent to ""IGM<40 OR IGM>400"" (strict/exclusive), silently excluding patients with IGM exactly 40 or exactly 400. This is the same ""boundary inequality contradicts hint"" family as bird_1239. Also note gold uses COUNT(T1.Diagnosis) (no DISTINCT, dedup-convention family) on top of the boundary issue -- two stacked issues."
bird_1256,thrombosis_prediction,moderate,Aziz,-,GOLD_NOISE,dedup-convention,"Standard dedup-convention fix: use COUNT(DISTINCT ID) not COUNT(id), when asking ""how many patients"".","VERIFIED WITH REAL DB QUERY: distinct patients=25 (model, correct), raw Laboratory rows matching=208 (gold, no dedup, 8.3x inflation). Joins the large existing dedup-convention cluster."
bird_1265,thrombosis_prediction,moderate,Aziz,-,GOLD_NOISE,AND-OR-precedence-bug,None -- document. Wrap the OR condition in parentheses: (RNP='negative' OR RNP='0') AND Admission='+'.,"VERIFIED WITH REAL DB QUERY: gold as literally written (no parens) gives exactly 47; correctly parenthesized gives exactly 35 (matches model exactly). AND binds tighter than OR in SQL, so gold counts ANY patient with RNP='negative' regardless of admission, plus admitted patients with RNP='0'. 3rd confirmed AND/OR precedence bug in the dataset (with bird_1247, bird_234)."
bird_1267,thrombosis_prediction,moderate,Aziz,-,GOLD_NOISE,dedup-convention,Standard dedup-convention fix.,VERIFIED: model's own exploration (turn 1) found exactly 1 patient (ID 5524440) with a duplicate Examination row. Gold's COUNT(T1.ID) (no DISTINCT) on the Examination-Laboratory join = 7; model's COUNT(DISTINCT L.ID) = 6. Gap is exactly the one duplicated patient -- small-scale but same dedup mechanism.
bird_1275,thrombosis_prediction,moderate,Aziz,3,REASONING,ignored-own-discovery (early-committal),"HIGH VALUE: when exploration (sample_values or similar) reveals that literal values from the hint do NOT exist in the database, the FINAL query MUST use the values actually discovered in exploration, not the original hint literals. Add an explicit scaffold check/reminder for this.","MAJOR FINDING, PROVEN WITH REAL DB QUERY: hint says CENTROMEA/SSB IN('-','+-') but the DB actually stores ('negative','0') -- confirmed via model's own turn-2 sample_values call. If the model had used ITS OWN discovered values in the FINAL query, it would have gotten the exact correct answer (1, matching gold exactly). Instead it resubmitted the original wrong hint-literal WHERE clause and got 0. This is not primarily a gold/hint defect from the model's perspective -- the model had all necessary information and failed to act on its own evidence. Directly illustrates Harshal's ""early committal"" mechanism: the model does not update after gathering contradicting evidence. [Reclassified from PDF's GOLD_NOISE/bad-hint-values -- the hint IS genuinely wrong, but that is not what caused this specific failure since the model already found the correct values itself.]"
bird_128,financial,moderate,Aziz,-,GOLD_NOISE,semantic-oversimplification (account-holder vs all-clients),"Per-DB insight for financial: clarify in hint/metadata whether ""account holder"" means disp.type='OWNER' specifically or all clients associated with an account (including DISPONENT).","VERIFIED: model correctly joined disp and filtered type='OWNER' (excluding mere authorized users/DISPONENT) per standard banking terminology for ""account holder"". Gold has NO disp/account join at all -- just counts all female clients per district regardless of account role. Numbers consistent: model(267) < gold(324) as expected since OWNER-only is a subset of all clients. 3rd occurrence of a financial-DB client/account-relationship ambiguity (with bird_186, bird_168)."
bird_129,financial,moderate,Aziz,-,GOLD_NOISE,alphabetical-sort-for-top-n,"None -- document. Gold should ORDER BY SUM(amount) DESC, not alphabetically by district name.","VERIFIED: gold's ORDER BY is literally ""A2 ASC"" (alphabetical district name), completely ignoring ""top ten withdrawals"" (by amount). GOLD_ANSWER is literally alphabetically sorted (Benesov, Beroun, Blansko...). Model correctly grouped by district and ordered by SUM(t.amount) DESC. Airtight, exact match."
bird_1302,thrombosis_prediction,challenging,Aziz,-,GOLD_NOISE,dedup-convention (cross-product via unrelated join),"Standard dedup-convention fix, or use EXISTS instead of a flat multi-table INNER JOIN when checking ""has ANY qualifying record"" across multiple one-to-many relationships.","VERIFIED WITH REAL DB QUERY: isolated the pure dedup effect -- COUNT(DISTINCT) under gold's exact WHERE criteria = 1, exactly matching model's EXISTS-based answer. Gold's flat triple JOIN (Patient x Laboratory x Examination, no dedup) creates a Cartesian-like row multiplication among a patient's multiple lab/exam records, inflating the count to 7. Model's EXISTS-based approach is semantically correct and confirmed equivalent to gold's intent once deduplicated."
bird_1322,student_club,moderate,Aziz,-,GOLD_NOISE,gold-answers-different-question / wrong-output-format,None.,Question asks a count of meetings; gold's EXCEPT structure returns non-meeting event names.
bird_1338,student_club,moderate,Aziz,1,REASONING,yesno-rule-overtriggered-on-each,"Refine scaffold rule: ""was each X..."" -> per-row column, not aggregate IIF.",First documented case of one of our own scaffold rules causing a failure.
bird_136,financial,moderate,Aziz,2,KNOWLEDGE,wrong-value-semantics (status codes),Same status-code metadata fix as bird_1254.,"Model added status='A' to mean ""approved""; a loan row existing already implies approval, gold applies no status filter."
bird_1387,student_club,moderate,Aziz,5,REASONING,over-restriction (picked 1 of all qualifying),Default to returning ALL qualifying rows unless the question is explicitly superlative; plus dedup-convention.,Model's single-answer reading is arguably better English; gold returns all qualifying rows with duplicates (no dedup convention again).
bird_1399,student_club,moderate,Aziz,-,GOLD_NOISE,yesno-answered-per-row-with-nulls,None.,"""Did Maya attend X?"" -- gold returns YES plus NULL for every OTHER event she attended. Indefensible output shape."
bird_1404,student_club,moderate,Aziz,-,GOLD_NOISE,lexical-column-match-in-gold,"Candidate heuristic: when a question word literally matches a column name, BIRD gold tends to prefer that column even when semantically odd.","""Type of expenses"" -> gold uses event.type (literal name match) not budget.category (semantic match); totals match exactly, only the ""type"" column differs."
bird_1422,student_club,simple,Aziz,1,REASONING,ignored-literal-column-name-match,"Strong heuristic: when a question word exactly matches a column name, prefer that column over a semantically-similar alternative.","3rd occurrence of the literal-column-match pattern (with bird_1404, bird_1247's FG/WBC) -- confirmed convention."
bird_1427,student_club,moderate,Aziz,1,REASONING,dropped-requested-column (used filter value as WHERE instead of also SELECTing it),Reinforce multi-part-question rule: a value used as a WHERE filter is sometimes ALSO a requested output column.,Related to the 1247/1032 column-count family.
bird_145,financial,moderate,Aziz,2,KNOWLEDGE + REASONING,wrong-entity-id (client vs account) + dedup-convention,"""Account holder identification numbers"" -> account_id despite sounding person-like; reinforce dedup-convention rule.","Model returned distinct client_id (deduped); gold returns account_id, not deduplicated (14 appears 6x)."
bird_1472,debit_card_specializing,moderate,Aziz,2,REASONING,"no-aggregation-over-period (ranked raw rows, not summed)","""Least/most X over a year/period"" -> SUM per entity first, then rank the sums -- never rank raw per-month rows.",Same family as bird_1481 -- this DB (debit_card_specializing) repeatedly needs annual aggregation before ranking.
bird_1481,debit_card_specializing,challenging,Aziz,-,GOLD_NOISE,hint-formula-not-implemented-by-gold (global-min vs per-segment-min),None -- document.,VERIFIED via full SQL: model's multi-CTE approach correctly implements the hint's stated formula; gold filters on the single global-minimum consumption row and uses one shared denominator across segments -- doesn't match its own hint.
bird_1482,debit_card_specializing,challenging,Aziz,3,REASONING,returned-labels-not-raw-metric-values,"For ""which segment has biggest/lowest X"" with a hint formula, output the formula's numeric result for every group, not a name/label.","Model's reasoning/direction was fully correct (SME biggest, LAM lowest); pure output-shape mismatch. Same family as bird_1029."
bird_1486,debit_card_specializing,simple,Aziz,3,REASONING,yesno-rule-overtriggered-on-quantity-followup,"When hint's formula is a plain arithmetic expression (not IIF/CASE), output only the number, even if question opens with ""is it true"".",2nd occurrence of this exact rule failure (with bird_1338).
bird_1490,debit_card_specializing,moderate,Aziz,2,KNOWLEDGE,dedup-convention,No DISTINCT/dedup unless the hint says so.,"Model computed % of distinct customers (98.25); gold computes % of customer-month rows (98.53), no dedup."
bird_1498,debit_card_specializing,simple,Aziz,2,REASONING,no-aggregation-before-superlative,"Same rule as bird_1472 -- ""highest/least X over period P"" -> SUM over P first, then rank.","3rd occurrence, all in debit_card_specializing -- strong DB-specific signal."
bird_1505,debit_card_specializing,simple,Aziz,1,KNOWLEDGE,dedup-convention,Same dedup rule.,8th dedup-convention occurrence at time of finding; this DB shows this pattern on nearly every question.
bird_152,financial,moderate,Aziz,1,KNOWLEDGE,"dedup-convention (JOIN-duplication affects AVG, not just COUNT)","Generalize existing rule -- BIRD gold uses natural JOIN cardinality even for AVG/SUM over one-to-many, unless hint says otherwise.","Model used EXISTS (semi-join, 1 row per district); gold used INNER JOIN, so districts with more accounts contribute their A15 value multiple times to the AVG. Proves the convention applies beyond COUNT."
bird_1524,debit_card_specializing,simple,Aziz,1,KNOWLEDGE,wrong-column-for-concept (no nationality column; gold infers it from transaction location),"Column-description metadata: customers has no nationality field; ""nationality""-type questions resolve via gasstations.Country.","Model's exploration was solid, genuine schema-knowledge gap."
bird_1525,debit_card_specializing,simple,Aziz,2,KNOWLEDGE,dedup-convention,Same dedup rule.,10th occurrence.
bird_1526,debit_card_specializing,challenging,Aziz,-,GOLD_NOISE,gold-returns-null (div-by-zero) + hint-date-mismatch (copy-paste artifact),None.,"Unwinnable by construction; hint evidence text mistakenly references '2012/8/24' instead of the question's actual '2012/8/25', likely copy-pasted from an adjacent question."
bird_1529,debit_card_specializing,moderate,Aziz,2,GOLD_NOISE,"join-fanout-bug (yearmonth joined by CustomerID only, no date correlation)",None -- strong candidate for gold-noise exhibit.,"VERIFIED via full SQL trace: gold joins yearmonth by CustomerID only (no date match), fanning out every transaction row against ~12 monthly records; unconditional SUM is inflated ~20x, while the ""January"" IIF column secretly nets out to the TRUE total. Secondary real issue: model used yearmonth.Consumption instead of transactions_1k.Price for the second value."
bird_1531,debit_card_specializing,moderate,Aziz,1,KNOWLEDGE (DB-specific convention),wrong-table-for-spending-superlative,"Per-DB insight for debit_card_specializing: ""top/least spending"" superlatives resolve via yearmonth.Consumption, never transactions_1k.Price.","4th occurrence (with 1472, 1481, 1498) -- high-confidence per-database rule."
bird_159,financial,simple,Aziz,3,REASONING (borderline GOLD_NOISE),list-question-id-only-format (outlier),"None strong -- contradicts general list/id train-stat (99% expect full detail), treat as one-off.","Gold returns only trans_id for ""list all withdrawals""; unusual, don't generalize from this single case."
bird_168,financial,moderate,Aziz,2,KNOWLEDGE,"wrong-join-path (redundant schema -- client.district_id is canonical, not the disp/account chain)","Schema documentation should flag redundant/shortcut FKs that gold prefers over the ""logical"" multi-hop join.",Same family as bird_1524's schema-shortcut discovery.
bird_169,financial,challenging,Aziz,2,KNOWLEDGE,dedup-convention (minor magnitude),Same dedup rule.,"11th occurrence, small numeric impact (25.36 vs 25.30) but confirms rule applies beyond debit_card_specializing."
bird_186,financial,moderate,Aziz,1,KNOWLEDGE (DB-specific convention),district-shortcut-join,Per-DB insight for financial: flag the district-bridging convention explicitly.,2nd occurrence with bird_168 -- gold bridges client-account via shared district_id instead of the disp ownership table.
bird_194,financial,moderate,Aziz,2,KNOWLEDGE (benchmark-wide convention),naive-age-calculation (no month/day adjustment),"Reinforce: implement the hint's stated formula exactly, never add ""more correct"" adjustments.","2nd occurrence with bird_1031 (different DB) -- confirms benchmark-wide, not DB-local. Number pairs consistently off by exactly 1 (90/91, 57/58 etc.), confirming the month/day-adjustment mechanism precisely."
bird_197,toxicology,moderate,Aziz,-,GOLD_NOISE,"join-fanout-bug (atom-bond joined via molecule_id, not the connected bridge table)",None -- document.,"Model's answer (0.081, ~8% oxygen atoms) is chemically sane; gold's (99.68 avg oxygen atoms/molecule) is physically implausible -- clear fan-out signature."
bird_198,toxicology,challenging,Aziz,-,GOLD_NOISE,join-fanout-bug (same family as bird_197),None.,"2nd occurrence in this DB; gold's ~732 ""single bonds per molecule"" average is implausible."
bird_207,toxicology,challenging,Aziz,-,GOLD_NOISE,"join-fanout-bug (over-inclusion, not count-inflation)",None.,"3rd occurrence in toxicology alone -- looks like a systematic authoring bug across this DB's atom/bond/molecule gold queries, not isolated one-offs. Model's connected-table-based join is chemically correct."
bird_215,toxicology,challenging,Aziz,1,REASONING,conflated-two-separate-counts-into-one,"When a hint defines two distinct ""refers to X"" conditions joined by ""and"" in the question, it may want two parallel output columns, not one merged filter.","Subtler variant of the multi-part-answer family; ""atoms with iodine and sulfur"" read as combined filter (97) when gold wants two separate counts (3, 77)."
bird_218,toxicology,challenging,Aziz,2,REASONING,left-join-null-edge-case,"When computing ""does entity have property Y"" via an aggregate flag, use INNER JOIN or COALESCE(MAX(...),0) -- LEFT JOIN + MAX(CASE) mishandles entities with zero child rows.","Very close result (99.34 vs 100.0) indicates a technical edge case, not a conceptual error."
bird_219,toxicology,challenging,Aziz,-,GOLD_NOISE,gold-ignores-hint-formula-entirely,None -- flagship example.,"Model followed the hint's exact formula (0.08%); gold's query never references bond_type at all, answering a completely different question (66.67%, overall % carcinogenic molecules)."
bird_23,california_schools,moderate,Aziz,2,REASONING,inconsistent-column-swap-between-turns,"Once a query is validated via execution, the FINAL answer should reuse those exact validated columns -- don't swap tables/columns without re-testing.","Model validated s.School (schools table) via exploration in turn 1, then silently switched to f.`School Name` (frpm table) in the FINAL without re-testing."
bird_231,toxicology,challenging,Aziz,-,GOLD_NOISE,gold-drops-requested-column,None.,"Two-part question (bond type AND carcinogenic status); model answered both, gold returns only bond type. Mirror image of the usual over-answering pattern."
bird_234,toxicology,moderate,Aziz,-,GOLD_NOISE,AND-OR-precedence-bug,None.,"2nd confirmed AND/OR precedence instance (with bird_1247) -- benchmark-wide, not DB-specific. Unparenthesized OR branch has no molecule restriction, inflating count from chemically sensible 3 to 1041."
bird_24,california_schools,moderate,Aziz,3,KNOWLEDGE,dedup-convention,Same dedup rule.,"12th occurrence; visible answer prefix identical to gold, confirming the difference is purely duplicate rows DISTINCT removed."
bird_244,toxicology,moderate,Hanyan,,,,,
bird_247,toxicology,challenging,Hanyan,,,,,
bird_25,california_schools,moderate,Hanyan,,,,,
bird_26,california_schools,moderate,Hanyan,,,,,
bird_260,toxicology,moderate,Hanyan,,,,,
bird_263,toxicology,challenging,Hanyan,,,,,
bird_27,california_schools,moderate,Hanyan,,,,,
bird_28,california_schools,challenging,Hanyan,,,,,
bird_281,toxicology,challenging,Hanyan,,,,,
bird_32,california_schools,moderate,Hanyan,,,,,
bird_340,card_games,simple,Hanyan,,,,,
bird_341,card_games,simple,Hanyan,,,,,
bird_344,card_games,moderate,Hanyan,,,,,
bird_349,card_games,moderate,Hanyan,,,,,
bird_352,card_games,moderate,Hanyan,,,,,
bird_36,california_schools,challenging,Hanyan,,,,,
bird_37,california_schools,moderate,Hanyan,,,,,
bird_371,card_games,challenging,Hanyan,,,,,
bird_383,card_games,simple,Hanyan,,,,,
bird_40,california_schools,moderate,Hanyan,,,,,
bird_402,card_games,moderate,Hanyan,,,,,
bird_408,card_games,moderate,Hanyan,,,,,
bird_41,california_schools,simple,Hanyan,,,,,
bird_416,card_games,challenging,Hanyan,,,,,
bird_424,card_games,simple,Hanyan,,,,,
bird_462,card_games,moderate,Hanyan,,,,,
bird_465,card_games,moderate,Hanyan,,,,,
bird_469,card_games,moderate,Hanyan,,,,,
bird_474,card_games,moderate,Hanyan,,,,,
bird_48,california_schools,moderate,Hanyan,,,,,
bird_484,card_games,moderate,Hanyan,,,,,
bird_486,card_games,moderate,Hanyan,,,,,
bird_50,california_schools,simple,Hanyan,,,,,
bird_530,card_games,moderate,Hanyan,,,,,
bird_533,codebase_community,simple,Hanyan,,,,,
bird_539,codebase_community,simple,Hanyan,,,,,
bird_565,codebase_community,moderate,Hanyan,,,,,
bird_584,codebase_community,moderate,Hanyan,,,,,
bird_586,codebase_community,challenging,Hanyan,,,,,
bird_595,codebase_community,moderate,Hanyan,,,,,
bird_598,codebase_community,challenging,Hanyan,,,,,
bird_604,codebase_community,moderate,Hanyan,,,,,
bird_637,codebase_community,moderate,Hanyan,,,,,
bird_639,codebase_community,challenging,Hanyan,,,,,
bird_640,codebase_community,moderate,Hanyan,,,,,
bird_672,codebase_community,moderate,Hanyan,,,,,
bird_682,codebase_community,moderate,Hanyan,,,,,
bird_683,codebase_community,moderate,Hanyan,,,,,
bird_685,codebase_community,moderate,Hanyan,,,,,
