id,db_id,difficulty,assignee,wrong_turn,error_class,subcategory,fix_idea,notes
bird_1243,thrombosis_prediction,challenging,Aziz,-,GOLD_NOISE,faulty-count-aggregation (hint-contradicts-gold),"None -- real SQL bug in gold, not fixable by model instructions.","RE-VERIFIED: predicted 78.36% vs gold 1.20% -- gold's COUNT(CASE WHEN cond THEN 1 ELSE 0 END) counts ALL rows (ELSE 0 is non-NULL) not just matching ones, massively inflating the denominator. Old classification reused as-is."
bird_1247,thrombosis_prediction,challenging,Aziz,-,GOLD_NOISE,AND-OR-precedence-bug,"None.","RE-VERIFIED: predicted 6 (properly parenthesized), gold 75 (inflated -- unparenthesized OR/AND lets FG<=150 alone satisfy the condition regardless of WBC/sex filters). Old classification reused as-is."
bird_125,financial,challenging,Aziz,-,GOLD_NOISE,gold-drops-requested-columns,"None.","RE-VERIFIED: predicted answers with district+region+percentage as literally asked (3 cols), gold returns just the bare percentage (1 col). Old classification reused as-is."
bird_1251,thrombosis_prediction,simple,Aziz,-,GOLD_NOISE,unnecessary-join-excludes-valid-entities (gold-side mirror of bird_1175),"None -- document. Same family as bird_1175's model-side bug, but here it's gold's own SQL with the needless join.","OLD SHEET ROW WAS MISMATCHED -- old notes described a completely different (student_club/meetings) question, not this one. Fresh classification, live-DB-verified: only 70 total patient IDs exist in Examination table at all; 127/136 real IGG>=2000 patients are missing from it entirely (136-127=9, exactly matching gold's count). Gold's unnecessary INNER JOIN to Examination silently drops 93% of the real answer. Model's simpler 2-table query (136) is correct."
bird_1254,thrombosis_prediction,moderate,Aziz,2,REASONING,dedup-convention-relapse,"Same family as bird_1525/bird_1227: the fixed prompt rule against DISTINCT doesn't always hold under high effort. Third confirmed instance this session -- worth its own line in the report as a recurring pattern, not a one-off.","OLD SHEET ROW WAS MISMATCHED -- old notes described a completely different (financial DB status codes) question, not this one. Fresh classification, live-DB-verified: raw non-deduped count = 1590 (matches gold), DISTINCT-patient count = 133 (close to predicted's 140, small residual gap from >=1990 vs >1990 boundary). Model added COUNT(DISTINCT P.ID) against the explicit dedup-fix rule."
bird_1265,thrombosis_prediction,moderate,Aziz,1,REASONING,hint-encoding-not-translated,"NEW PATTERN: when a hint gives a symbol-to-value legend ('X' means 'Y'), translate to the real value before filtering -- don't use the symbol itself as a literal DB value. Worth a dedicated prompt rule if this recurs elsewhere.","MECHANISM COMPLETELY CHANGED from old classification (was AND-OR-precedence-bug giving 35 vs 47; now gives 0 vs 47). Live-DB-verified real RNP values are 'negative'/'0'/numeric strings -- '-' and '+-' never appear. Evidence hint literally says RNP='-','+-' as a symbol legend (- means negative, +- means 0) but model used the symbols literally instead of translating. Note: hint also explicitly says 'Should consider DISTINCT', and model correctly used DISTINCT here -- that part of the dedup-fix's carve-out is working as intended."
bird_1267,thrombosis_prediction,moderate,Aziz,1,REASONING,hint-encoding-not-translated,"Same as bird_1265 -- see that row's fix_idea. Two occurrences of the identical pattern in the same database (thrombosis_prediction), same hint phrasing style.","MECHANISM COMPLETELY CHANGED from old classification (was dedup-convention giving 6 vs 7; now gives 0 vs 7). Live-DB-verified real SM values are 'negative'/'0'/'1'/'2'/'8' -- '-' and '+-' never appear. Same symbol-legend-not-translated bug as bird_1265, evidence hint: SM IN('-','+-'); SM='negative' means '-'; SM='0' means '+-'."
bird_128,financial,moderate,Aziz,-,GOLD_NOISE,semantic-oversimplification (account-holder vs all-clients),"Per-DB insight for financial: clarify whether 'account holder' means disp.type='OWNER' specifically or all associated clients.","RE-VERIFIED: predicted 267 (OWNER-only, correct per standard banking terminology) vs gold 324 (no disp/account join, counts all clients). Old classification reused as-is."
bird_129,financial,moderate,Aziz,-,GOLD_NOISE,alphabetical-sort-for-top-n,"None -- document. Gold should ORDER BY SUM(amount) DESC, not alphabetically by district name.","RE-VERIFIED: predicted ranked by real withdrawal amount (Trutnov, Pelhrimov, Zlin...), gold literally alphabetical (Benesov, Beroun, Blansko...) via ORDER BY A2 ASC, ignoring 'top ten' by amount entirely. Old classification reused as-is."
bird_1322,student_club,moderate,Aziz,-,GOLD_NOISE,gold-answers-different-question / wrong-output-format,"None.","RE-VERIFIED: predicted count=4 (correct answer to the actual question). Gold's EXCEPT structure returns 9 non-meeting event NAMES instead of a meeting count. CONFIRMED this is bird_1322's own correct classification -- resolves the earlier bird_1251 mismatch, that row's mislabeled notes actually described THIS question."
bird_1338,student_club,moderate,Aziz,1,REASONING,yesno-rule-overtriggered-on-each,"Refine scaffold rule: 'was each X...' -> per-row column, not aggregate IIF.","RE-VERIFIED: predicted single aggregate 'NO' via IIF(COUNT=SUM(...)), gold returns 3 individual 'true' rows (per-expense boolean, no aggregation). Old classification reused as-is."
bird_136,financial,moderate,Aziz,2,KNOWLEDGE,wrong-value-semantics (status codes),"Same status-code metadata fix as bird_1254.","RE-VERIFIED: predicted still adds status='A' filter (3 results) vs gold's no-filter (65, a loan existing implies approval). Old classification reused as-is."
bird_1387,student_club,moderate,Aziz,-,INFRA_ERROR,content-filter-false-positive,"Infra issue, not fixable via prompt/scaffold. Question itself is completely benign ('which student manages the budget for the Yearly Kickoff').","Confirmed reproducible BadRequestError (Azure content policy false-flag) across multiple runs of this exact question, not a transient timeout. predicted_sql empty, no answer ever produced."
bird_1399,student_club,moderate,Aziz,-,GOLD_NOISE,yesno-answered-per-row-with-nulls,"None.","RE-VERIFIED: predicted single clean YES, gold still returns YES plus 13 NULL rows (one per every other event she attended). Old classification reused as-is."
bird_1404,student_club,moderate,Aziz,-,GOLD_NOISE,lexical-column-match-in-gold,"Candidate heuristic: when a question word literally matches a column name, BIRD gold tends to prefer that column even when semantically odd.","RE-VERIFIED: totals match exactly (54.25+121.14=175.39=gold's total), only column choice differs (predicted: budget.category, semantic; gold: event.type, literal word match). Old classification reused as-is."
bird_1422,student_club,simple,Aziz,1,REASONING,ignored-literal-column-name-match,"Strong heuristic: when a question word exactly matches a column name, prefer that column over a semantically-similar alternative. SECONDARY ISSUE: also missing DISTINCT -- predicted returns many duplicate category rows, gold collapses to 4 unique via DISTINCT.","RE-VERIFIED: predicted still picks event.type when question says 'category' (literal match is budget.category). Old classification reused as-is, secondary DISTINCT issue newly noted."
bird_1427,student_club,moderate,Aziz,1,REASONING,dropped-requested-column (used filter value as WHERE instead of also SELECTing it),"Reinforce multi-part-question rule: a value used as a WHERE filter is sometimes ALSO a requested output column. SECONDARY ISSUE: same missing-DISTINCT pattern as bird_1422, same DB/table family -- both events/budget queries where gold consistently collapses join-duplicated rows via DISTINCT but model doesn't reliably add it.","RE-VERIFIED: predicted still returns only category (1 col), gold wants category+type (2 cols) via DISTINCT. Old classification reused as-is, secondary DISTINCT issue newly noted -- worth flagging as a small cluster with bird_1422."
bird_145,financial,moderate,Aziz,2,KNOWLEDGE + REASONING,wrong-entity-id (client vs account) + dedup-convention,"'Account holder identification numbers' -> account_id despite sounding person-like; reinforce dedup-convention rule.","RE-VERIFIED: predicted still client_id, deduped, small values (19,41,51...). Gold still account_id, not deduped, repeating values (14 x6). Old classification reused as-is."
bird_1472,debit_card_specializing,moderate,Aziz,2,REASONING,no-aggregation-over-period (ranked raw rows, not summed),"'Least/most X over a year/period' -> SUM per entity first, then rank the sums -- never rank raw per-month rows.","RE-VERIFIED, exact same mechanism confirmed independently earlier this session too: predicted still ORDER BY Consumption ASC LIMIT 1 (single raw row), not aggregated by customer. Old classification reused as-is."
bird_1481,debit_card_specializing,challenging,Aziz,-,GOLD_NOISE,hint-formula-not-implemented-by-gold (global-min vs per-segment-min),"None -- document.","RE-VERIFIED: same huge-scale mismatch pattern (predicted small values ~-14009/6046/7962, gold degenerate 0.0/582092/-582092). Old classification reused as-is."
bird_1482,debit_card_specializing,challenging,Aziz,3,REASONING,returned-labels-not-raw-metric-values,"For 'which segment has biggest/lowest X' with a hint formula, output the formula's numeric result for every group, not a name/label.","RE-VERIFIED: predicted still returns segment labels ['SME'],['LAM'], gold wants 3 numeric percentages [545.4,681.6,708.1]. Model's direction (SME biggest, LAM lowest) was correct, pure output-shape mismatch. Old classification reused as-is."
bird_1486,debit_card_specializing,simple,Aziz,3,REASONING,yesno-rule-overtriggered-on-quantity-followup,"When hint's formula is a plain arithmetic expression (not IIF/CASE), output only the number, even if question opens with 'is it true'.","RE-VERIFIED: predicted still ['YES',23505], gold just [23505]. Old classification reused as-is. NOTE: corrects an earlier informal note in reasoning_effort_flip_cases.csv that attributed this to tool-doubt/guessing based only on skimming reasoning text -- this SQL-verified classification is the accurate one."
bird_1490,debit_card_specializing,moderate,Aziz,2,KNOWLEDGE,dedup-convention,"No DISTINCT/dedup unless the hint says so.","RE-VERIFIED: predicted still COUNT(DISTINCT...) giving 98.25%, gold raw customer-month rows giving 98.53%. Old classification reused as-is."
bird_1498,debit_card_specializing,simple,Aziz,2,REASONING,no-aggregation-before-superlative,"Same rule as bird_1472 -- 'highest/least X over period P' -> SUM over P first, then rank.","RE-VERIFIED: predicted still takes MAX(Consumption) of a single raw row (445279.69), gold reflects SUM-per-month-then-MAX (51787161.74, over 100x larger). Old classification reused as-is."
bird_152,financial,moderate,Aziz,2,REASONING,planned-aggregation-not-executed-in-final-sql,"NEW PATTERN: model's own reasoning correctly identifies the needed AVG(A15) aggregation, but the final SQL never applies it -- just selects raw matching rows. A 'plan-execution gap', distinct from all other named patterns so far. Worth checking if this recurs.","MECHANISM CHANGED from old classification (old assumed model computed AVG via EXISTS with wrong cardinality vs gold's JOIN; current model's final SQL has no AVG() at all, just SELECT A3,A15 FROM district WHERE... EXISTS(...)). Reasoning trace shows explicit planning: 'I might need to compute AVG(A15), filtering out duplicates using EXISTS' -- correctly identified, never implemented in the FINAL SQL submitted. Also note: A15 is itself a pre-computed per-district average per the hint, so this is really an average-of-averages question, adding a layer of confusion."
bird_1524,debit_card_specializing,simple,Aziz,1,KNOWLEDGE,wrong-column-for-concept (no nationality column; gold infers it from transaction location),"Column-description metadata: customers has no nationality field; 'nationality'-type questions resolve via gasstations.Country.","RE-VERIFIED: predicted still uses customers.Currency (CZK, a currency code), gold uses gasstations.Country (CZE, the actual country/nationality proxy). Old classification reused as-is."
bird_1526,debit_card_specializing,challenging,Aziz,-,GOLD_NOISE,gold-returns-null (div-by-zero) + hint-date-mismatch (copy-paste artifact),"None.","RE-VERIFIED: gold_answer still literally [[None]]. Unwinnable by construction. Old classification reused as-is."
bird_1529,debit_card_specializing,moderate,Aziz,2,GOLD_NOISE,join-fanout-bug (yearmonth joined by CustomerID only, no date correlation),"None -- strong candidate for gold-noise exhibit. NOTE: this run's specific wrong-column choice differs slightly from old notes (SUM(Amount) -- likely a quantity field -- instead of yearmonth.Consumption), but the January-2012 value still shows the same fanout-inflation pattern as before (67156.94 vs gold's netted 3437.01).","PARTIALLY RE-VERIFIED, not a clean full reuse: predicted [148, 67156.94] vs gold [68740.2, 3437.01]. First value's wrong-column mechanism differs from old description; second value's fanout mechanism matches old notes closely."
bird_1531,debit_card_specializing,moderate,Aziz,1,KNOWLEDGE (DB-specific convention),wrong-table-for-spending-superlative,"Per-DB insight for debit_card_specializing: 'top/least spending' superlatives resolve via yearmonth.Consumption, never transactions_1k.Price.","RE-VERIFIED: predicted and gold identify DIFFERENT customers entirely (19182 vs 12459) because predicted ranks top-spender via transactions_1k.Price instead of yearmonth.Consumption. Old classification reused as-is."
bird_159,financial,simple,Aziz,3,REASONING (borderline GOLD_NOISE),list-question-id-only-format (outlier),"None strong -- contradicts general list/id train-stat (99% expect full detail), treat as one-off.","RE-VERIFIED: predicted still returns full row detail (10 cols), gold still just trans_id. Old classification reused as-is."
bird_168,financial,moderate,Aziz,2,KNOWLEDGE,wrong-join-path (redundant schema -- client.district_id is canonical, not the disp/account chain),"Schema documentation should flag redundant/shortcut FKs that gold prefers over the 'logical' multi-hop join.","RE-VERIFIED + confirmed live via direct query: client.district_id path gives EXACTLY gold's 49.60998%, disp/account/OWNER chain gives EXACTLY predicted's 50.2798%. Same mechanism as before; small numeric gap this time is coincidental (two different populations happen to have similar gender splits), not evidence of a smaller bug. Old classification reused as-is."
bird_169,financial,challenging,Aziz,2,KNOWLEDGE,dedup-convention (minor magnitude),"Same dedup rule.","RE-VERIFIED, values match old notes exactly (25.362 vs 25.300). Old classification reused as-is."
bird_186,financial,moderate,Aziz,1,KNOWLEDGE (DB-specific convention),district-shortcut-join,"Per-DB insight for financial: flag the district-bridging convention explicitly.","RE-VERIFIED: predicted 52.13% (disp/account chain) vs gold 52.63% (district-shortcut join) -- same family confirmed live for bird_168, close numbers again since populations largely overlap. Old classification reused as-is."
bird_194,financial,moderate,Aziz,2,KNOWLEDGE (benchmark-wide convention),naive-age-calculation (no month/day adjustment),"Reinforce: implement the hint's stated formula exactly, never add 'more correct' adjustments.","RE-VERIFIED: predicted ages consistently <= gold's by exactly 1 (equal only when birthday has already passed this year) -- exact same off-by-one pattern as old notes describe. Model's julianday approach is actually MORE correct; gold's naive year-subtraction is what BIRD's convention expects. Old classification reused as-is."
bird_197,toxicology,moderate,Aziz,-,GOLD_NOISE,join-fanout-bug (atom-bond joined via molecule_id, not the connected bridge table),"None -- document.","RE-VERIFIED: predicted 0.080 (chemically sane proportion), gold 99.68 (physically implausible avg atoms/molecule) -- clear fanout signature confirmed. Old classification reused as-is."
bird_198,toxicology,challenging,Aziz,-,GOLD_NOISE,join-fanout-bug (same family as bird_197),"None.","RE-VERIFIED: predicted 0.828 (sane proportion), gold 732.125 (implausible avg single bonds/molecule) -- same fanout family as bird_197. Old classification reused as-is."
bird_207,toxicology,challenging,Aziz,1,REASONING,over-complicated-as-pairs-not-distinct-list,"'What elements are in X' wants a plain DISTINCT list of elements, not pairs/combinations of both bond-endpoint elements.","MECHANISM CHANGED from old classification (was GOLD_NOISE/join-fanout, 'model's join is chemically correct'). Live-verified: gold's answer (13 distinct real elements: c,o,cl,h,s,n,p,f,sn,pb,ca,br,cu) is chemically sane, NOT implausible -- contradicts the fanout-bug framing. Current predicted returns duplicated element PAIRS (c,o / o,c / c,c...) instead of a simple distinct element list -- this is a model over-complication, not a gold defect. Reclassified as REASONING."
bird_215,toxicology,challenging,Aziz,1,REASONING,conflated-two-separate-counts-into-one,"When a hint defines two distinct 'refers to X' conditions joined by 'and' in the question, it may want two parallel output columns, not one merged filter.","RE-VERIFIED: predicted merged count 80 exactly equals gold's two separate counts summed (3+77=80) -- confirms model found all the right atoms, just merged two requested counts into one instead of splitting per element. Old classification reused as-is."
bird_218,toxicology,challenging,Aziz,2,REASONING,left-join-null-edge-case,"When computing 'does entity have property Y' via an aggregate flag, use INNER JOIN or COALESCE(MAX(...),0) -- LEFT JOIN + MAX(CASE) mishandles entities with zero child rows.","RE-VERIFIED: predicted 99.34% vs gold 100.0%, same close-margin technical edge case. Old classification reused as-is."
bird_219,toxicology,challenging,Aziz,-,GOLD_NOISE,gold-ignores-hint-formula-entirely,"None -- flagship example.","RE-VERIFIED: predicted 0.08% (follows hint exactly), gold 66.67% (never references bond_type, answers a different question). Old classification reused as-is."
bird_231,toxicology,challenging,Aziz,-,GOLD_NOISE,gold-drops-requested-column,"None.","RE-VERIFIED: predicted answers both parts (bond type + carcinogenic YES/NO), gold returns only bond type. Old classification reused as-is."
bird_234,toxicology,moderate,Aziz,-,GOLD_NOISE,AND-OR-precedence-bug,"None.","RE-VERIFIED: predicted 6 (small, sane count) vs gold 1041 (implausible, unparenthesized OR removes molecule restriction). Old classification reused as-is (exact sane-count value shifted 3->6 from prior run, expected variance, mechanism unchanged)."
bird_24,california_schools,moderate,Aziz,3,KNOWLEDGE,dedup-convention,"Same dedup rule.","RE-VERIFIED: predicted and gold answer lists share an identical prefix, confirming the difference is purely extra duplicate rows. Old classification reused as-is."
